year,Exports of goods and services,Imports of goods and services,trade_balance,coverage_ratio,total_trade,total_exports_yoy,total_imports_yoy
1995,1795717400000.0,1685198800000.0,110518600000.0,1.0655819360896768,3480916200000.0,,
1996,1902796300000.0,1776333900000.0,126462400000.0,1.0711929215560205,3679130200000.0,0.059630151158528655,0.0540797323140747
1997,2110977400000.0,1960465100000.0,150512300000.0,1.076773771693258,4071442500000.0,0.1094079802446537,0.10365798907513946
1998,2243944100000.0,2110136799999.9998,133807300000.00024,1.0634116707504462,4354080900000.0,0.06298821579046754,0.07634499588898569
1999,2370591700000.0,2266138700000.0,104453000000.0,1.0460929421486866,4636730400000.0,0.056439730383657905,0.07392975659208467
2000,2804858800000.0,2734327200000.0,70531600000.0,1.0257948646379995,5539186000000.0,0.18318932779525054,0.20660187304510536
2001,2934917800000.0,2805716100000.0,129201700000.0,1.0460494559659832,5740633900000.0,0.0463691790830969,0.026108396976045833
2002,2988478900000.0,2782166400000.0,206312500000.0,1.07415534167906,5770645300000.0,0.0182496082173067,-0.008393472169190619
2003,2997856200000.0,2825092800000.0,172763400000.0,1.0611531769859028,5822949000000.0,0.0031378170346125778,0.015429127459809733
2004,3281304500000.0,3085124000000.0,196180500000.0,1.0635891782631752,6366428500000.0,0.09455033233415255,0.09204341889229273
2005,3560597200000.0,3403109300000.0,157487900000.0,1.0462776496776052,6963706500000.0,0.08511636149586232,0.10307050867323331
2006,3977860300000.0,3849533700000.0,128326600000.0,1.0333356219222083,7827394000000.0,0.11718907715818005,0.13118132879246636
2007,4337630599999.9995,4198353900000.0005,139276699999.99902,1.0331741209334446,8535984500000.0,0.09044317116918354,0.09061362419037944
2008,4517830600000.0,4415400300000.0,102430300000.0,1.0231984175930775,8933230900000.0,0.04154341773594106,0.05169797619967187
2009,3807931800000.0,3624502600000.0,183429200000.0,1.0506081027504297,7432434400000.0,-0.1571326733676114,-0.17912253618318597
2010,4384633300000.0,4204495000000.0,180138300000.0,1.0428442179143989,8589128300000.0,0.1514474340112919,0.16001986038029048
2011,4843253500000.0,4644725800000.0,198527700000.0,1.0427426092623164,9487979300000.0,0.1045971620933499,0.10470479807919864
2012,5045989600000.0,4714451900000.0,331537700000.0,1.070323699770911,9760441500000.0,0.04185948557101127,0.015011887246390243
2013,5134965400000.0,4724342000000.0,410623400000.0,1.0869165272116201,9859307400000.0,0.01763297332202196,0.0020978260484532107
2014,5329654000000.0,4880957100000.0,448696900000.0,1.091928056487118,10210611100000.0,0.03791429636507382,0.03315066944772416
2015,5693924400000.0,5155493600000.0,538430800000.0,1.1044382636805135,10849418000000.0,0.06834785147403566,0.05624644805831225
2016,5801823600000.0,5245275600000.0,556548000000.0,1.106104624893304,11047099200000.0,0.018949882790856964,0.01741482134707728
2017,6255726600000.0,5697264700000.0,558461900000.0,1.0980228108411392,11952991300000.0,0.07823453991258877,0.08617070569180396
2018,6580484300000.0,6069851200000.0,510633100000.0,1.084126131461015,12650335500000.0,0.051913665792235886,0.06539743536929232
2019,6864552600000.0,6374942200000.0,489610400000.0,1.0768023277136536,13239494800000.0,0.043168296898755676,0.05026334088717044
2020,6225299300000.0,5733382900000.0,491916400000.0,1.0857986303339342,11958682200000.0,-0.09312381115704471,-0.10063766538934271
2021,7354315200000.0,6791300400000.0,563014800000.0,1.0829023554899737,14145615600000.0,0.18135929625102531,0.18451889895579798
2022,8942294500000.0,8640684600000.0,301609900000.0,1.0349057874418885,17582979100000.0,0.21592483553057384,0.2723166538178756
2023,8931702400000.0,8302203000000.0,629499400000.0,1.0758231760895272,17233905400000.0,-0.0011844946506738285,-0.039173007194360454
2024,9073842100000.0,8307027000000.0,766815100000.0,1.0923092100218286,17380869100000.0,0.015914065833630975,0.0005810505958478984
2025,9327759100000.0,8615654300000.001,712104799999.999,1.0826524341859909,17943413400000.0,0.027983405177394394,0.03715255770807069
