year,country,2_letter_code,unit,Exports of goods and services,Imports of goods and services,trade_balance,coverage_ratio,total_trade,total_exports_yoy,total_imports_yoy,%_Export_UE,%_Import_UE,%_total_trade_UE
1995,Albania,AL,CP_EUR,272100000.0,618100000.0,-346000000.0,0.4402200291215014,890200000.0,,,0.0001515271835089419,0.00034420783582093706,0.0004957350193298789
1996,Albania,AL,CP_EUR,292900000.0,838700000.0,-545800000.0,0.34923095266483845,1131600000.0,0.0764424843807423,0.3569001779647307,0.0001539313483003935,0.00044077235172256744,0.000594703700022961
1997,Albania,AL,CP_EUR,200600000.0,693100000.0,-492500000.0,0.2894243254941567,893700000.0,-0.31512461590986685,-0.17360200310003582,9.502707134619253e-05,0.00032833132178487556,0.0004233583931310681
1998,Albania,AL,CP_EUR,261700000.0,836700000.0,-575000000.0,0.3127763834110195,1098400000.0,0.3045862412761715,0.20718511037368348,0.00011662500861763891,0.0003728702510904795,0.0004894952597081183
1999,Albania,AL,CP_EUR,508400000.0,1031400000.0000001,-523000000.0000001,0.49292224161334103,1539800000.0,0.9426824608330149,0.23269989243456446,0.0002144612250182096,0.0004350812499680987,0.0006495424749863082
2000,Albania,AL,CP_EUR,760400000.0,1638400000.0,-878000000.0,0.464111328125,2398800000.0,0.49567269866247043,0.5885204576304051,0.0002711009908948001,0.0005841292260416104,0.0008552302169364105
2001,Albania,AL,CP_EUR,935600000.0,1980500000.0,-1044900000.0,0.4724059580913911,2916100000.0,0.23040504997369804,0.20880126953125,0.000318782352268946,0.0006748059519758953,0.0009935883042448412
2002,Albania,AL,CP_EUR,966100000.0,2194500000.0,-1228400000.0,0.4402369560264297,3160600000.0,0.03259940145361262,0.10805352183791972,0.00032327482720389964,0.000734320058274462,0.0010575948854783617
2003,Albania,AL,CP_EUR,1027500000.0,2275700000.0,-1248200000.0,0.45150942567122204,3303200000.0,0.06355449746403075,0.03700159489633181,0.0003427449255237793,0.0007591091260481407,0.00110185405157192
2004,Albania,AL,CP_EUR,1283700000.0,2590200000.0,-1306500000.0,0.49559879545981006,3873900000.0,0.24934306569343057,0.1381992354000967,0.00039121635922542393,0.0007893811744688736,0.0011805975336942975
2005,Albania,AL,CP_EUR,1490200000.0,3099000000.0,-1608800000.0,0.480864795095192,4589200000.0,0.1608631300148009,0.19643270789900402,0.00041852529682380246,0.000870359612707666,0.0012888849095314685
2006,Albania,AL,CP_EUR,1787600000.0,3478600000.0,-1691000000.0,0.5138848962226183,5266200000.0,0.19957052744598047,0.12249112616973212,0.0004493873251406039,0.0008744902378798974,0.0013238775630205013
2007,Albania,AL,CP_EUR,2206100000.0,4291800000.0,-2085700000.0,0.514026748683536,6497900000.0,0.2341127769075857,0.23377220720979697,0.0005085956374431701,0.000989434185566655,0.001498029823009825
2008,Albania,AL,CP_EUR,2226700000.0,4589300000.0,-2362600000.0,0.48519382040834114,6816000000.0,0.009337745342459458,0.06931823477328858,0.0004928692988178883,0.00101581940677457,0.0015086887055924584
2009,Albania,AL,CP_EUR,2186400000.0,4318500000.0,-2132100000.0,0.5062869051754081,6504900000.0,-0.01809853145910989,-0.0590068202122328,0.0005741699470562997,0.0011340801849444887,0.0017082501320007885
2010,Albania,AL,CP_EUR,2517200000.0,4369100000.0,-1851900000.0,0.5761369618456891,6886300000.0,0.15129893889498724,0.01171703137663549,0.000574095899878332,0.0009964573320190768,0.0015705532318974085
2011,Albania,AL,CP_EUR,2710200000.0,4817400000.0,-2107200000.0,0.5625856271017561,7527600000.0,0.07667249324646441,0.10260694422192218,0.0005595825203037586,0.000994661956059083,0.0015542444763628417
2012,Albania,AL,CP_EUR,2773900000.0,4560200000.0,-1786300000.0,0.608284724354195,7334100000.0,0.023503800457530755,-0.05338979532527921,0.0005497236855184957,0.0009037275859625236,0.0014534512714810192
2013,Albania,AL,CP_EUR,2783300000.0,4519800000.0,-1736500000.0,0.6158015841408911,7303100000.0,0.003388730668012485,-0.008859260558747417,0.0005420289686859428,0.0008802006728224498,0.0014222296415083925
2014,Albania,AL,CP_EUR,2812400000.0,4704700000.0,-1892300000.0,0.5977851935298744,7517100000.0,0.010455215032515452,0.04090888977388385,0.0005276890394761086,0.0008827402304164585,0.0014104292698925672
2015,Albania,AL,CP_EUR,2798800000.0,4571000000.0,-1772200000.0,0.6122949026471232,7369800000.0,-0.004835727492533026,-0.028418390120517834,0.0004915414753311442,0.0008027855094106975,0.0012943269847418416
2016,Albania,AL,CP_EUR,3106400000.0,4913100000.0,-1806700000.0,0.632268832305469,8019500000.0,0.1099042446762899,0.07484139138044199,0.0005354178641349937,0.0008468199550224174,0.001382237819157411
