"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P1","Output","","P1","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P2","Intermediate consumption","","P2","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/B1GQ","Gross domestic product at market prices","","B1GQ","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/B1G","Value added, gross","","B1G","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P51C","Consumption of fixed capital","","P51C","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/B2A3N","Operating surplus and mixed income, net","","B2A3N","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/D21","Taxes on products","","D21","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/D29X39","Other taxes less other subsidies on production","","D29X39","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/D31","Subsidies on products","","D31","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/D21X31","Taxes less subsidies on products","","D21X31","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/YA1","Statistical discrepancy (production approach)","","YA1","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P3_S13","Final consumption expenditure of general government","","P3_S13","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P31_S14_S15","Household and NPISH final consumption expenditure","","P31_S14_S15","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P3","Final consumption expenditure","","P3","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P31_S14","Final consumption expenditure of households","","P31_S14","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P31_S15","Final consumption expenditure of NPISH","","P31_S15","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P31_S13","Individual consumption expenditure of general government","","P31_S13","valid","2014-09-18"
"http://dd.eionet.europa.eu/vocabulary/eurostat/na_item/P32_S13","Collective consumption expenditure of general government","","P32_S13","valid","2014-09-18"
