freq,unit,na_item,geo\TIME_PERIOD,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,CLV05_MEUR,P6,AL,,,,,,,,,,,,,,,,,,,,,249.2,288.0,235.4,315.0,545.3,757.4,874.4,905.5,1012.1,1199.2,1490.2,1742.4,2075.4,1979.4,2072.7,2470.5,2635.4,2643.1,2685.1,2680.6,2620.2,2818.6,3184.0,3326.2,3408.7,2463.6,3747.1,4385.7,4760.9,4766.1,
A,CLV05_MEUR,P6,AT,,,,,,,,,,,,,,,,,,,,,63483.8,66428.5,73754.1,79544.9,84662.8,96113.1,101659.8,106017.2,106580.6,115811.7,123530.6,132889.5,142951.7,146054.7,125069.4,141492.3,149890.4,152045.4,153007.4,157376.2,162139.3,166991.9,175173.8,184196.9,191629.7,171529.9,187839.2,205582.0,204288.5,199606.2,200195.6
A,CLV05_MEUR,P6,BA,,,,,,,,,,,,,,,,,,,,,,,,,,1422.8,1505.1,1427.2,1614.1,1896.2,2194.4,2606.4,2929.1,2962.6,2868.5,3267.3,3419.0,3422.7,3691.6,3845.3,4221.4,4616.9,5162.7,5538.4,5566.4,4740.2,5943.4,6644.0,6561.2,6455.4,
A,CLV05_MEUR,P6,BE,,,,,,,,,,,,,,,,,,,,,138097.3,144967.8,158726.0,165293.7,173309.2,194794.3,195534.9,202277.7,205545.2,218275.4,230304.7,243433.6,256666.7,261306.2,231761.6,255945.4,268283.5,266488.9,267236.1,281452.5,291781.0,309709.5,326794.0,331842.9,341587.6,321236.3,368303.2,379540.6,352399.5,346409.5,344236.7
A,CLV05_MEUR,P6,BG,,,,,,,,,,,,,,,,,,,,,8187.2,10639.4,11394.5,9415.5,7746.8,6417.4,6495.3,7070.7,7527.6,9372.5,10224.1,11007.6,13167.5,13493.8,11912.9,13228.0,14888.6,15192.0,16655.3,17163.7,18275.7,19849.7,20989.7,21353.5,22206.8,20073.0,22396.4,25098.6,25098.6,25544.0,25000.0
A,CLV05_MEUR,P6,CH,,,,,,,,,,,,,,,,,,,,,113849.7,117920.6,135767.7,139022.4,144159.5,161855.8,161723.8,158565.8,156254.8,171497.3,182212.6,194561.6,216692.4,226027.7,207313.8,233325.6,242937.6,243857.5,277688.3,264580.9,274778.0,290894.3,288542.3,299337.6,297743.9,282502.9,321008.3,343589.8,334482.1,340186.5,356536.5
A,CLV05_MEUR,P6,CY,,,,,,,,,,,,,,,,,,,,,6582.6,7004.8,7003.2,7411.0,7591.2,8257.0,8402.4,8108.3,7873.3,8124.5,8375.7,8568.6,9028.1,8977.1,8559.3,9101.0,9739.5,9683.5,9792.2,10408.3,11337.2,12155.7,13490.7,14464.7,15726.8,15984.1,20324.7,25911.5,25489.5,27039.2,28322.4
A,CLV05_MEUR,P6,CZ,,,,,,,,,,,,,,,,,,,,,25381.2,26017.3,27985.2,30682.4,32269.2,37038.0,40531.4,40900.5,44508.1,57717.2,68193.4,77935.2,86530.7,90175.6,81314.0,93232.6,101775.1,106132.3,106406.7,115692.1,122531.6,127601.2,136664.4,141450.1,143305.3,131101.3,141790.1,149090.8,152591.4,154918.9,160964.1
A,CLV05_MEUR,P6,DE,,,,,,,,,,,,,,,,,393923.8,392571.4,362695.2,390850.1,416177.3,440152.1,493511.3,530641.4,557689.9,633179.7,667850.9,694653.4,706087.5,784651.0,836166.0,935999.4,1016038.2,1031775.5,882148.4,1006571.2,1086118.3,1114273.3,1119560.0,1168124.3,1225049.0,1249392.6,1297588.0,1330783.8,1358324.1,1229475.1,1354635.6,1407380.1,1387462.6,1358815.9,1352791.4
A,CLV05_MEUR,P6,DK,,,,,,,,,,,,,,,,,,,,,59793.6,62580.9,65403.2,68086.2,75763.3,85319.3,88184.3,92022.3,90910.0,93660.4,101089.9,111535.9,115593.3,120066.6,109061.9,112362.2,120729.5,122250.0,123948.9,127691.2,131818.5,136645.4,143212.2,148087.3,154628.5,144794.4,155997.0,166269.8,179210.5,191951.4,197791.9
A,CLV05_MEUR,P6,EA,,,,,,,,,,,,,,,,,,,,,1634697.3,1715461.6,1902374.8,2040819.4,2153568.9,2433467.8,2564355.2,2615593.4,2633310.1,2838174.3,2980132.4,3224377.7,3458564.8,3491859.6,3101138.8,3438328.6,3666751.5,3744288.4,3825308.2,4006911.8,4298807.2,4432277.3,4677821.3,4835101.8,4991462.8,4559699.4,5078158.5,5445905.1,5407783.3,5436172.4,5547546.6
